Filme,tadolfo,rost,mendonsa,xaubiro,cambe,stefano,tazima,freitas,duba,nota média cineclube,Nota IMDB,Ano FIlme,País Filme
Badlands,"7,5",8,"7,5",2,"7,5",7,"7,7",,,"6,7","7,7",1973,EUA
Prova_dOrchestra,"6,5",7,"7,25",10,4,6,5,9,4,"6,5","7,1",1978,Itália
Brutti_Sporchi_Cattivi,"6,5","4,5","7,5",5,7,"7,3",2,6,4,"5,5","7,7",1976,Itália
Trafic,"7,5",9,7,8,4,5,"7,5",,,"6,9",7,1971,França
Tilsammans,"8,5",7,7,6,8,9,8,9,4,"7,4","7,4",2000,Suécia
Dead_Pigs,"6,5","7,5","6,5",6,,"6,5","7,5",4,,"6,4","6,8",2018,China
Pompoko,7,"7,8","8,5",10,6,8,"9,5",10,8,"8,3","7,3",1994,Japão
The_Cremator,"8,5",10,8,"9,9",8,8,9,5,4,"7,8",8,1969,Tchéquia
Tokyo_Godfathers,"7,5","6,5","7,5","7,5",,9,7,,6,"7,3","7,8",2003,Japão
Cul_de_Sac,5,5,7,0,3,5,,3,,"4,0",7,1966,Reino Unido
Viajo_Pq_Preciso,9,9,"6,5",9,,"8,5",6,10,4,"7,8","7,2",2009,Brasil
Les_Diaboliques,,"6,5","7,5",7,,"7,5",4,5,4,"5,9","8,1",1955,França
Baile_Perfumado,7,5,"7,5","6,5",5,6,"8,5",8,6,"6,6","7,3",1996,Brasil
Call_Girl,,"3,5","6,5",1,"4,5","7,5","6,5",,,"4,9","6,5",2012,Suécia
Border,"7,5","6,5","7,5",6,7,8,"3,75","9,5",6,"6,9",7,2018,Suécia
Colina_Kokuriko,4,"8,5",7,4,8,8,7,,,"6,6","7,4",2011,Japão
Sult,"6,5",6,"7,5",5,,"8,5",7,6,2,"6,1","7,7",1966,Noruega
Açao_Entre_Amigos,7,6,7,5,,"7,5",,6,4,"6,1","7,2",1998,Brasil
La_Planete_Sauvage,"7,5",7,"7,5","3,5","8,5",,"7,5",,,"6,9","7,7",1973,França
Onde_Fica_a_Casa_Do_Meu_Amigo,,"9,5",6,9,9,"6,5",,10,2,"7,4","8,1",1987,Irã
Sleuth,,6,8,"7,5",,"8,5",,,8,"7,6","7,9",1972,Reino Unido
Tape,,7,"6,5",7,,5,,6,,"6,3","7,2",2001,EUA
EnManSomHeterOve,,"5,5","6,5",,"6,5","5,5",,,6,"6,0","7,7",2015,Suécia
QueHeHechoYoParaMerecerEsto,,8,"6,5",,"4,5","5,5",4,,2,"5,1","7,1",1984,Espanha
OContoDaPrincesaKaguya,,8,"7,5",,,"7,5",9,"7,5",6,"7,6",8,2013,Japão
NoiteVazia,"7,5","5,5",5,7,,,,6,4,"5,8","7,6",1964,Brasil
WhiteBoyRick,,"5,5",6,,,,6,,6,"5,9","6,5",2018,EUA
ThePowerOfTheDog,7,"4,5",6,0,7,6,,4,4,"4,8","6,8",2021,Reino Unido
JeTaimeJeTaime,,"8,5",8,9,,,,,,"8,5","7,1",1968,França
Macario,,8,8,8,"5,5",,,"8,5",,"7,6","8,3",1960,México
TheTragedyOfMacbeth,,"6,5",7,4,,"6,9",,6,,"6,1","7,1",2021,EUA
TheYacoubianBuilding,,"4,5",5,,,,,,,"4,8","7,5",2006,Egito
AboutEndlessness,,7,5,,,7,,,,"6,3","6,8",2019,Suécia
Aya_e_a_Bruxa,,2,"4,5",,,,5,1,,"3,1","4,7",2020,Japão
Nightmare_Alley,7,6,"7,5",,,,,5,,"6,4",7,2021,EUA
I_Am_Mother,,4,,,,4,"5,7",6,,"4,9","6,7",2019,EUA
Belfast,"6,5","4,5",6,,,,,6,,"5,8","7,2",2021,Reino Unido
GoodMorning,,"8,5",7,,"7,5","8,1","6,7","9,5",,"7,9","7,8",1959,Japão
UnBorghesePiccoloPiccolo,,"7,5","7,5",,,"6,5","7,5",,,"7,3","7,8",1977,Itália
Amundsen,,3,"5,5",,,,,6,,"4,8","6,2",2019,Noruega
TheyLive,,4,6,,,7,8,,,"6,3","7,2",1988,EUA
Damnation,,8,7,,,"5,6",,,,"6,9","7,6",1988,Hungria
SussurrosDoCoração,,10,7,,7,,8,10,,"8,4","7,8",1995,Japão
TodaNudezSeráCastigada,,5,6,,5,,6,6,,"5,6","6,9",1973,Brasil
Waves,,"2,5","4,5",,4,,,,,"3,7","7,5",2019,EUA
ConvençãoDasBruxas,"7,5",7,,,,"8,5",,,,"7,7","6,8",1990,EUA
DemoisellesDeRochefort,,"9,25","5,5",,,"6,5",,,2,"5,8","7,7",1967,França
EverythingIsIlluminated,,"8,5","8,5",,,"9,5",,10,6,"8,5","7,4",2005,EUA
Playtime,,"9,5",7,10,,,,,2,"7,1","7,8",1967,França
ParentiSerpenti,,4,5,,5,6,,,4,"4,8","7,3",1992,Itália
JulietaDosEspiritos,,8,"7,5",,3,"8,5",,,,"6,8","7,4",1965,Itália
Alien,,"7,5","8,5",,10,,8,8,,"8,4","8,5",1979,Reino Unido
BlueVelvet,,7,7,"7,5",,,8,"7,5",,"7,4","7,7",1986,EUA
MrNobody,,4,7,,,6,,,10,"6,8","7,7",2009,EUA
BeingJohnMalkovich,9,8,"8,5",,,9,,,,"8,6","7,7",1999,EUA
MarcelTheShellWithShoesOn,,7,"7,5",,,"6,5",,,,"7,0","7,7",2021,EUA
SoyCuba,,8,8,"7,5",8,"7,5",,,,"7,8","8,2",1964,Cuba
OfficeRomance,,2,5,4,,,,7,,"4,5","8,2",1977,Rússia
Harakiri,,"8,5",10,10,,"9,2",10,10,,"9,6","8,6",1962,Japão
InBruges,,8,8,,,"7,5",,,,"7,8","7,9",2008,Reino Unido
APageOfMadness,,7,,,,,,,,,"7,3",1926,Japão
AMulherDeTodos,,7,,,,,,,,,"6,9",1969,Brasil
OLoboAtrasDaPorta,,7,7,,,,,,6,,"7,4",2013,Brasil
MedidaProvisória,6,6,5,,,,,,,"5,7","6,6",2020,Brasil
TriangleOfSadness,"6,5","7,5","7,8",,,"6,5",,,,"7,1","7,3",2022,Suécia
Hausu,,9,8,,,8,,10,,"8,8","7,3",1977,Japão